k Linear Matter Galaxy Monopole Quadrupole Hexadecapole
0.0006075291689016078 10038.830462166818 3130.0883084033185 2994.1188550672464 4402.184443703924 2961.559247629395 193.87751436154676
0.0006217090286163827 10259.048240118795 3198.7499559388807 3083.353217549172 4522.301459222377 3026.517169326892 198.1289500825633
0.0006362198492657489 10483.842524551997 3268.8383560792095 3174.441807318601 4644.9164949468095 3092.8256682648757 202.46870837637204
0.0006510693555481455 10713.295002313132 3340.378963155034 3267.4177311603876 4770.0742070744245 3160.5088500311263 206.89836068544025
0.000666265452458115 10947.488309894303 3413.3975275041844 3362.3144807543663 4897.819257845874 3229.590822719773 211.41947853831815
0.0006818162294944479 11186.506025623872 3487.920093031599 3459.1659295089125 5028.1963160364985 3300.095696973658 216.03363349326423
0.0006977299649665538 11430.432660971079 3563.9729944928163 3558.006329052456 5161.250057137459 3372.0475861502014 220.74239710637355
0.0007140151304013403 11679.353552424705 3641.5828234538394 3658.870264289162 5297.025215393142 3445.4706342660816 225.54734266170007
0.0007306803950529499 11933.353062624472 3720.7758617283484 3761.791904503598 5435.567508230252 3520.389512135574 230.45007548637122
0.0007477346305177588 12192.51458382028 3801.5780832387595 3866.805007278294 5576.923524714998 3596.829357396718 235.45222942583305
0.0007651869154570817 12456.922008827718 3884.0156178447737 3973.9435326726343 5721.139891255756 3674.8153268569004 240.5554392998675
0.0007830465404301183 12726.659755866629 3968.114759275296 4083.241653959302 5868.263241981491 3754.372580244604 245.7613399152894
0.0008013230128396887 13001.812736708016 4053.9019551991087 4194.733744735764 6018.340218878147 3835.5262804729027 251.07156609340996
0.0008200260619934131 13282.466323182174 4141.403796784669 4308.4543653579085 6171.41747206852 3918.3015938023286 256.48775273317375
0.0008391656442830162 13568.706312011403 4230.647007737589 4424.4382487286075 6327.541660066429 4002.723689681856 262.0115346983022
0.0008587519484845171 13860.618887931465 4321.658432804654 4542.720285356597 6486.759449849605 4088.8177410728554 267.6445469456665
0.0008787954011821319 14158.290585066285 4414.465025733263 4663.335507726887 6649.117517172034 4176.608924278303 273.38842434669965
